"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat"
"Richard Kelly","American","Pittsburgh, PA","-79.9958864","40.440625",NA,NA,NA
"Robbert Flick","American","Netherlands","5.2912660","52.132633",NA,NA,NA
"Robert Atkinson Bonine","American","Lancaster, PA","-76.3055144","40.037875","Altoona, PA","-78.3947359","40.518681"
"Robert Doisneau","French","Gentilly (Val-de-Marne, Île-de-France, France)","2.3319215","48.816105","Paris (Ville de Paris department, Île-de-France, France)","2.3522148","48.856582"
"Robert E. Churchill","American",NA,NA,NA,NA,NA,NA
"Robert Frank","American","Zurich (Zürich canton, Switzerland)","8.5416940","47.376887",NA,NA,NA
"Robert M. Cargo","American",NA,NA,NA,NA,NA,NA
"Robert Mapplethorpe","American","New York City (New York state, United States)","-74.0059728","40.712775","New York City (New York state, United States)","-74.0059728","40.712775"
"Robert W. Off","American","Chicago, IL","-87.6297982","41.878114","Ligonier, PA","-79.2375325","40.243128"
"Rudy Burckhardt","American","Basel (Basel-Stadt, Switzerland)","7.5885761","47.559599",NA,NA,NA
"Russell Lee","American","Ottawa, IL","-88.8425769","41.345589","Austin, TX","-97.7430608","30.267153"
"Salvatore Pinto","American","Casal Velino, Salerno, Italy","15.1110081","40.190784","Philadelphia, PA","-75.1652215","39.952584"
"Scott Conarroe","Canadian","Edmonton, Alberta, Canada","-113.4909267","53.544389",NA,NA,NA
"Seth Dickerman","American","New York","-74.0059728","40.712775",NA,NA,NA
"Shen Wei","Chinese","Shanghai, China","121.4737021","31.230390",NA,NA,NA
"Siwa Mgoboza","South African","Cape Town, South Africa","18.4240553","-33.924869",NA,NA,NA
"Tanya Habjouqa","Jordanian","Jordan","36.2384140","30.585164",NA,NA,NA
"Terry deRoy Gruber","American","Pittsburgh, Pa.","-79.9958864","40.440625",NA,NA,NA
"Theodore Roszak","American","Poznan (Wielkopolskie voivodship, Poland)","16.9251681","52.406374","New York City (New York state, United States)","-74.0059728","40.712775"
"Tina Barney","American","New York City (New York state, United States)","-74.0059728","40.712775",NA,NA,NA
"Todd Webb","American","Detroit, MI","-83.0457538","42.331427","Maine","-69.4454689","45.253783"
"Trevor McClurg","American","Philadelphia (Philadelphia county, Pennsylvania, United States)","-75.1652215","39.952584",NA,NA,NA
"Victor Landweber","American","Washington (DC, United States)","-77.0368707","38.907192",NA,NA,NA
"W. Eugene Smith","American","Wichita, Kansas","-97.3300530","37.687176",NA,NA,NA
